抓取日期,發行機構代碼,發行機構名稱,債券名稱,掛牌日期,發行資料
2026-09-04,2442,新美齊股份有限公司,新美齊股份有限公司國內第四次無擔保轉換公司債,113/12/25,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=24424&bond_kind=5&bond_subn=%24M00000001&bond_yrn=4&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=2442&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,4979,華星光通科技股份有限公司,華星光通科技股份有限公司國內第四次無擔保轉換公司債,113/12/25,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=49794&bond_kind=5&bond_subn=%24M00000001&bond_yrn=4&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=4979&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,1316,上曜建設開發股份有限公司,上曜建設開發股份有限公司國內第六次有擔保轉換公司債,113/12/27,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=13166&bond_kind=5&bond_subn=%24M00000001&bond_yrn=6&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=1316&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,4569,六方科技股份有限公司,六方科技股份有限公司中華民國境內第一次無擔保轉換公司債,114/01/15,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=45691&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=4569&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,2755,揚秦國際企業股份有限公司,揚秦國際企業股份有限公司國內第一次無擔保轉換公司債,114/01/15,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=27551&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=2755&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,3390,旭軟電子科技股份有限公司,旭軟電子科技股份有限公司國內第二次有擔保轉換公司債,114/02/21,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=33902&bond_kind=5&bond_subn=%24M00000001&bond_yrn=2&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=3390&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,3095,及成企業股份有限公司,及成企業股份有限公司國內第四次有擔保轉換公司債,114/02/25,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=30954&bond_kind=5&bond_subn=%24M00000001&bond_yrn=4&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=3095&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,4510,高鋒工業股份有限公司,高鋒工業股份有限公司國內第二次無擔保轉換公司債,114/02/26,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=45102&bond_kind=5&bond_subn=%24M00000001&bond_yrn=2&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=4510&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,9906,欣巴巴事業股份有限公司,欣巴巴事業股份有限公司國內第三次無擔保轉換公司債,114/02/27,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=99063&bond_kind=5&bond_subn=%24M00000001&bond_yrn=3&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=9906&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,6854,錼創科技股份有限公司,錼創科技股份有限公司中華民國境內第一次有擔保轉換公司債,114/02/27,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=68541&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=6854&monyr_reg=202608&pg=&step=0&tg=
