TITLE,櫃檯買賣轉(交)換公司債期間利息對照表
DATADATE,年份:101年
BODY,發行公司,富喬二
BODY,轉換公司債名稱,富喬二
BODY,轉換公司債代號,18152
BODY,發行日期,970815
BODY,票面利率,3
BODY,計算週期, 12個月
BODY,債息計算起始日,1001012
BODY,債息基準日,0
BODY,24,1.1393,1.2663,1.3852,0.0123,0.1356,0.2630,0.3863,0.5136,0.6410,0.7643,0.8917,1.0150
BODY,25,1.1434,1.2704,1.3893,0.0164,0.1397,0.2671,0.3904,0.5178,0.6452,0.7684,0.8958,1.0191
BODY,26,1.1475,1.2745,1.3934,0.0205,0.1438,0.2712,0.3945,0.5219,0.6493,0.7726,0.9000,1.0232
BODY,27,1.1516,1.2786,1.3975,0.0246,0.1479,0.2753,0.3986,0.5260,0.6534,0.7767,0.9041,1.0273
BODY,28,1.1557,1.2827,1.4016,0.0287,0.1520,0.2794,0.4027,0.5301,0.6575,0.7808,0.9082,1.0315
BODY,29,1.1598,1.2868,1.4057,0.0328,0.1561,0.2835,0.4068,0.5342,0.6616,0.7849,0.9123,1.0356
BODY,30,1.1639,0.0000,1.4098,0.0369,0.1602,0.2876,0.4109,0.5383,0.6657,0.7890,0.9164,1.0397
BODY,31,1.1680,0.0000,1.4139,0.0000,0.1643,0.0000,0.4150,0.5424,0.0000,0.7931,0.0000,1.0438
BODY,發行公司,昆盈二
BODY,轉換公司債名稱,昆盈二
BODY,轉換公司債代號,23652
BODY,發行日期,990423
BODY,票面利率,2
BODY,計算週期, 12個月
BODY,債息計算起始日,990423
BODY,債息基準日,
BODY,日期/月份,10101,10102,10103,10104,10105,10106,10107,10108,10109,10110,10111,10112
BODY,01,1.3879,1.5573,1.7158,1.8852,0.0493,0.2191,0.3835,0.5534,0.7232,0.8876,1.0575,1.2219
BODY,02,1.3934,1.5628,1.7213,1.8907,0.0547,0.2246,0.3890,0.5589,0.7287,0.8931,1.0630,1.2273
